G,Num_obs,rms,U,M,Peri,Node,i,e,n,a,Tp,Perihelion_dist,Synodic_period,Orbit_type_Apollo,Orbit_type_Atira,Orbit_type_Object with perihelion distance < 1.665 AU
0.15,149,0.75,0.0,308.24208,335.86362,151.46848,14.11468,0.3016963,0.56288306,1.4527489999999998,2459979.45147,1.01446,2.3315598,0,0,0
0.15,65,0.7000000000000001,6.0,128.4016,16.63601,57.30909,3.01661,0.192127,0.69780975,1.2588617,2459703.49339,1.0170004,3.424652,0,0,0
0.15,23,0.39,9.0,217.81186,166.96738,23.52497,16.75494,0.4599196,0.37679511,1.8984502,2460264.86197,1.0253157,1.6189016999999999,0,0,0
0.15,28,0.49,5.0,219.25379,234.3471,260.87909,11.66789,0.3085984,1.15949082,0.8973416999999999,2460008.88622,0.6204235,5.6682197,0,0,0
0.15,18,0.23,7.0,20.53976,359.46273,60.00803,30.51371,0.5669626999999999,0.2547403,2.4645498999999997,2459806.86981,1.067242,1.3485452,0,0,0
0.15,167,0.56,0.0,232.31746,311.18401,343.72366,30.33385,0.3292438,0.57260027,1.4362665,2460110.48724,0.9633847,2.3864163,1,0,0
0.15,128,0.67,0.0,68.01153,69.21036,91.36575,2.95044,0.4704063,1.25482051,0.8512981,2459833.29979,0.45084209999999997,3.6610735,0,0,0
0.15,39,0.33,5.0,218.45011,96.7226,150.06657,15.2142,0.4545575,0.58691905,1.4128105,2460128.67449,0.7706069,2.4721239,1,0,0
0.15,68,0.54,4.0,274.91727,335.68824,124.30915,1.13227,0.6476961999999999,0.25246233,2.4793528,2460224.51163,0.8734854,1.3443551,1,0,0
0.15,41,0.81,3.0,90.35251,237.63557,211.66191,14.18348,0.47288179999999996,0.31536905,2.1375847,2459601.00225,1.1267598,1.4705325,0,0,0
0.15,24,0.32,8.0,171.14524,259.0752,208.60214,32.30416,0.6070673,0.53942598,1.494565,2459570.22706,0.5872634999999999,2.2089828,1,0,0
0.15,65,0.36,3.0,33.35261,247.62087,25.60246,2.83933,0.15247159999999998,0.93013809,1.0393722,2459851.6423,0.8808975,17.7684359,1,0,0
0.15,22,0.29,5.0,133.24142,85.5395,17.37964,18.98962,0.1402263,0.5935834,1.4022158999999998,2459663.03041,1.2055884,2.5141496,0,0,0
0.15,25,0.33,7.0,274.97172,289.40738,223.4187,8.07811,0.29609579999999996,0.6494264200000001,1.3206348,2460018.42828,0.9296004,2.9317748999999997,1,0,0
0.15,18,0.36,8.0,277.97876,55.24437,164.91216,9.15872,0.4938875,0.3913289,1.8511492,2460097.09668,0.9368896999999999,1.6584938999999999,1,0,0
0.15,24,0.78,8.0,38.63476,22.04014,192.77898,24.80306,0.0737801,0.72888497,1.2228224,2459834.4947,1.1326024,3.8391918,0,0,0
0.15,78,0.54,4.0,17.63411,354.10388,61.83359,8.771840000000001,0.6100239,0.30333446000000003,2.1937554,2459829.36578,0.8555122,1.4445939,1,0,0
0.15,54,0.62,7.0,102.50171,166.39071,221.62008,4.34364,0.5657376,0.27184367,2.360061,2459510.43867,1.0248858,1.3808593,0,0,0
0.15,58,0.58,3.0,282.12739,39.51651,5.61425,3.59354,0.2653761,0.66589469,1.2987703,2460004.44435,0.9541077,3.082789,1,0,0
0.15,33,0.47000000000000003,7.0,136.14999,279.01375,61.16042,6.71589,0.26687089999999997,0.84421904,1.1087474,2459726.22669,0.812855,6.9709128,1,0,0
0.15,53,0.22,1.0,327.57501,126.99181,318.86699,2.3266999999999998,0.6125378,0.21286822,2.7779781,2460039.82426,1.0763615,1.2754722,0,0,0
0.15,51,0.42,6.0,293.26578,335.84513,132.23928,17.90645,0.5283802,0.28429055000000003,2.2906625,2460122.23954,1.0803218,1.4053666,0,0,0
0.15,21,0.48,7.0,154.85742,122.20208,332.68016,26.24453,0.2531252,1.04565985,0.9613372,2459739.40459,0.7179985,16.4125083,0,0,0
0.15,226,0.68,0.0,354.87712,224.96341,225.09304,25.47172,0.6721136,0.14117438000000002,3.6528525,2459923.78762,1.1977207,1.1671824,0,0,0
0.15,21,0.25,6.0,214.13906,70.21469,37.62356,0.8257800000000001,0.252839,0.84252415,1.1102338999999999,2460060.62376,0.8295235,6.8883372,1,0,0
0.15,120,0.4,7.0,130.98755,76.63757,223.42773,0.9152100000000001,0.6912164,0.26303029,2.4124901,2459389.50566,0.7449374,1.3640168,1,0,0
0.15,50,0.30000000000000004,2.0,133.38556,338.12806,346.31899,11.12423,0.49250079999999996,0.24143204000000001,2.5543052,2459335.02328,1.2963078000000001,1.3244288,0,0,0
0.15,28,0.36,8.0,283.53874,218.76434,112.73977,3.83275,0.6868657,0.29643663,2.227656,2460145.43461,0.6975555,1.4301351,1,0,0
0.15,24,0.44,5.0,195.79095,201.45904,250.81675,6.53617,0.1546507,1.17011964,0.8918994,2460027.83527,0.7539665,5.3417006,0,0,0
0.15,49,0.8300000000000001,5.0,3.74454,40.07087,341.60581,20.05078,0.1757061,0.55600074,1.4647128,2459880.76522,1.2073538,2.294208,0,0,0
0.15,58,0.26,1.0,309.06868,184.75344,251.16628,7.93689,0.5538382,0.31308285,2.1479782,2460050.17684,0.9583457999999999,1.4655335,1,0,0
0.15,44,0.39,6.0,79.50167,7.9009,155.73326,10.87134,0.0521774,0.89136805,1.0692962,2459798.30937,1.0135031,10.4585222,0,0,0
0.15,91,0.75,7.0,103.74637,24.3289,131.68478,34.78883,0.44012969999999996,0.40774288000000003,1.8011303,2459633.05928,1.0083994,1.7056025,0,0,0
0.15,25,0.79,8.0,227.01273,245.93421,69.53162,22.06062,0.4466129,0.45800603,1.6668196,2460177.86141,0.9223965,1.8680905,1,0,0
0.15,23,0.18,5.0,170.37462,245.06034,144.73175,8.59375,0.5189633,0.23251093,2.619231,2459154.74029,1.2599462,1.3087398000000001,0,0,0
0.15,41,0.36,6.0,51.48249,95.79241,62.08189,8.44724,0.4327494,0.78218045,1.1666254,2459821.6808,0.6617689999999999,4.8450127,1,0,0
0.15,23,0.30000000000000004,6.0,11.11246,55.67118,18.03747,3.20916,0.0871942,1.00786816,0.9852208,2459876.47429,0.8993152999999999,44.2761413,0,0,0
0.15,14,0.33,8.0,260.75096,142.48946,145.27175,23.7066,0.0744763,0.72569889,1.2263989,2460024.26341,1.1350612,3.7921289,0,0,0
0.15,102,0.8300000000000001,0.0,341.30445,50.20763,23.55376,6.60199,0.44000409999999995,0.36793516,1.9288059,2459938.31209,1.0801234,1.5956800000000002,0,0,0
0.15,43,0.43,6.0,152.14541,43.83021,25.7168,19.08628,0.2888481,0.55003091,1.475292,2459610.88752,1.0491567,2.2627646,0,0,0
0.15,77,0.48,3.0,98.66876,272.31679,175.81574,23.41366,0.3618076,0.83118175,1.1203113,2459768.79099,0.7149742,6.382398,1,0,0
0.15,63,0.6900000000000001,6.0,159.00136,12.32564,248.29758,7.5712,0.4194752,0.41813229999999996,1.7711700000000001,2459507.23433,1.0282081,1.7368289,0,0,0
0.15,23,0.53,7.0,283.0282,83.66982,326.60312,6.16004,0.6593719,0.37298789,1.9113471,2460093.86546,0.6510585,1.6088407999999998,1,0,0
0.15,44,0.32,6.0,124.7119,317.00116,284.86965,17.27855,0.7134001,0.36855543,1.9266412,2459549.11966,0.5521752,1.597284,1,0,0
0.15,75,0.54,0.0,179.36243,202.61107,333.50477,3.07123,0.0807864,0.77540741,1.173409,2459656.1862,1.0786135,4.6888986,0,0,0
0.15,13,0.22,7.0,276.54063,181.74327,22.67207,3.5031,0.2863264,0.48924752,1.5950843,2460058.08722,1.1383695999999999,1.9856703,0,0,0
0.15,21,0.39,8.0,80.15698,318.68357,343.83092,7.25119,0.21735929999999998,0.66136223,1.3046974,2459766.30018,1.0211093,3.0396962,0,0,0
0.15,24,0.41000000000000003,7.0,174.60959,126.30553,342.61718,7.18252,0.4895593,0.6656382200000001,1.2991039,2459625.18094,0.6631155,3.080318,1,0,0
0.15,58,0.89,6.0,233.70184,324.33746,342.7379,10.67598,0.6083653,0.28616737000000003,2.280636,2460328.84379,0.8931762,1.4091377,1,0,0
0.15,224,0.64,6.0,59.41993,80.08265,162.81146,5.78186,0.6005893999999999,0.3225561,2.1057132,2459703.2842,0.8410441999999999,1.4864720999999999,1,0,0
0.15,14,0.28,8.0,144.97577,181.01486,96.99232,12.44131,0.49647179999999996,0.28972268,2.2619399,2459387.1049,1.1389505,1.416337,0,0,0
0.15,21,0.29,8.0,223.92008,296.16244,84.59905,4.9509,0.7290249,0.37358345,1.9093152,2460251.7558,0.5173769,1.6104063,1,0,0
0.15,39,0.41000000000000003,6.0,230.02327,184.20355,277.18688,5.96369,0.49006269999999996,0.33087227,2.0702802,2460280.33062,1.0557131,1.5053527,0,0,0
0.15,27,0.34,5.0,63.85759,141.55812,122.28012,2.0502,0.6180626,0.25671998,2.4518634,2459638.75579,0.9364583,1.3522079,1,0,0
0.15,23,0.8,8.0,8.19867,176.94989,210.0922,9.6815,0.332655,0.50127521,1.5694659,2459871.14437,1.0473752,2.0349818,0,0,0
0.15,33,0.33,7.0,253.37475,352.71298,359.86037,1.10104,0.604789,0.23546794000000001,2.5972566,2460340.32287,1.0264644,1.3138988,0,0,0
0.15,37,0.52,3.0,22.72275,46.5681,90.69304,9.45878,0.6083497999999999,0.23930183,2.5694413,2459792.54564,1.0063222,1.3206485,0,0,0
0.15,42,0.65,6.0,135.94833,40.76977,337.94854,3.94858,0.5363032,0.33557036,2.0509118,2459482.37377,0.9510012,1.5162325,1,0,0
0.15,265,0.63,1.0,221.04407,157.57597,85.60894,21.46266,0.4103752,1.48888691,0.7595590999999999,2459980.82873,0.4478549,1.9583713,0,0,0
0.15,98,0.42,3.0,149.608,237.2223,341.1862,3.85292,0.3986702,0.62291695,1.3578421,2459647.32671,0.8165108999999999,2.7174882,1,0,0
0.15,77,0.39,0.0,287.87225,259.25203,110.38536,33.71398,0.3225442,0.58046732,1.4232599,2460011.75808,0.9641957,2.432756,1,0,0
0.15,57,0.34,4.0,329.11284,144.54449,261.77636,18.02633,0.1465253,0.60501753,1.3844929,2459938.55168,1.1816297,2.5896828,0,0,0
0.15,43,0.48,8.0,118.05827,3.77348,193.93453,47.32431,0.2030747,0.561508,1.4551197999999999,2459677.24784,1.1596218,2.3240001,0,0,0
0.15,85,0.47000000000000003,6.0,257.80492,249.72306,180.48786,9.96925,0.5277864,0.64619328,1.3250362,2460045.64942,0.6257001,2.9038478999999997,1,0,0
0.15,34,0.5700000000000001,7.0,246.77575,165.40034,204.48755,7.25778,0.2686482,0.59427865,1.401122,2460078.02386,1.0247131,2.5186165,0,0,0
0.15,34,0.21,3.0,25.0119,85.57438,303.15846,13.47394,0.3717725,0.42979473,1.738983,2459829.30501,1.0924769,1.7732722,0,0,0
0.15,15,0.5,8.0,318.26171,125.72444,229.59552,10.39023,0.5301397,0.36431852000000003,1.9415499,2460002.06539,0.9122572,1.5863912,1,0,0
0.15,72,0.7000000000000001,4.0,75.27504,356.86256,45.1069,8.56061,0.5939223,0.20803405,2.8208485,2459525.65992,1.1454837,1.2675426,0,0,0
0.15,19,0.42,7.0,96.47899,322.13883,174.5002,28.10788,0.4166494,0.47318141,1.6309886,2459683.6057,0.9514382,1.9234137,1,0,0
0.15,314,0.72,0.0,349.15809,326.49655,71.55668,10.11562,0.5586995,0.38569385,1.869136,2459915.61015,0.8248506999999999,1.6429154000000001,1,0,0
0.15,33,0.30000000000000004,5.0,0.16166000000000003,157.23988,40.5103,1.60398,0.4379184,0.38223689,1.8803888,2459887.07707,1.0569319,1.6335025,0,0,0
0.15,36,0.38,8.0,267.78072,285.30999,12.50602,22.80287,0.6269034,0.37545139,1.9029771,2460133.12248,0.7099943,1.6153365,1,0,0
0.15,220,0.30000000000000004,1.0,340.0835,356.64598,312.58788,21.67462,0.7058837,0.22148773,2.7054298,2459977.42147,0.795711,1.2898599,1,0,0
0.15,79,0.63,5.0,152.58098,156.38984,146.49914,7.84265,0.5032017,0.32699886,2.0865969,2459420.88979,1.0366178,1.4964994,0,0,0
0.15,21,0.15,8.0,89.65609,341.82788,229.88917,42.93274,0.7871208,0.26233376,2.4167585,2459545.73648,0.5144776,1.3627032,1,0,0
0.15,88,0.8200000000000001,0.0,240.03994,256.84065,200.40056,4.10661,0.6030487999999999,0.56575045,1.4478362,2460099.53708,0.5747203,2.3474831,1,0,0
0.15,19,0.24,4.0,114.05421,9.31675,84.89111,5.38903,0.4201176,0.41574756,1.7779365,2459613.16471,1.0309941,1.7295607,0,0,0
0.15,31,0.29,3.0,346.51668,85.19934,264.31705,9.46415,0.2680223,0.5469111,1.4808971,2459912.15359,1.0839837,2.2466729,0,0,0
0.15,26,0.18,3.0,261.67037,283.2402,82.49782,2.99947,0.5438891,0.21119191,2.7926587,2460353.09376,1.2737621,1.2727113,0,0,0
0.15,38,0.6000000000000001,7.0,224.22341,307.04692,154.83056,25.16635,0.44023239999999997,0.41710215,1.774085,2460213.02363,0.9930753,1.7336817999999998,1,0,0
0.15,26,0.4,7.0,55.51655,260.5381,307.57787,24.54493,0.08505979999999999,0.83555857,1.1163956,2459821.05755,1.0214352,6.5685679,0,0,0
0.15,40,0.35000000000000003,6.0,58.09267,142.03101,300.48925,28.74036,0.5453011999999999,0.7309150999999999,1.2205571,2459808.02063,0.5549858,3.8697933,1,0,0
0.15,19,0.33,6.0,338.91697,153.93338,273.32648,11.39187,0.29027159999999996,0.58797913,1.4111118999999999,2459923.35677,1.0015062,2.4787145,0,0,0
0.15,394,0.51,0.0,187.83151,30.7158,11.50549,12.48722,0.48268000000000005,0.38821001,1.8610508000000001,2460330.99319,0.9627587999999999,1.6498352,1,0,0
